PERMIT NUMBER,OWNER NAME,OPERATING NAME,BUSINESS NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type
MI-W-21135,"THE FILLING STATION MICROBREWERY, INC.",,THE FILLING STATION MICROBREWERY,642 RAILROAD PL,TRAVERSE CITY,MI,49686,,44.758094,-85.609423,1,rooftop
MI-W-21136,"MIZKAN AMERICAS, INC.",,MIZKAN AMERICAS,702 KIDDVILLE RD,BELDING,MI,48809,,43.109252,-85.21799,0.5,range_interpolation
MI-W-21137,RUDBECKIA WINERY LLC,,RUDBECKIA WINERY,3379 LAKE GROVE RD STE B,PETOSKEY,MI,49770,EMMET,45.333151,-85.026924,1,range_interpolation
MI-W-21138,BRAVO ZULU BREWING LLC,BRAVO ZULO WINERY,BRAVO ZULO WINERY,"6060 US 31 HWY, N",WILLIAMSBURG,MI,49690,GRAND TRAVERSE,44.774578,-85.498625,1,rooftop
MI-W-21139,"A TASTE OF TIME, LLC",,A TASTE OF TIME,8515 N LILLEY RD,CANTON,MI,48187,WAYNE,42.349183,-83.460059,1,range_interpolation
MI-W-21140,"OLD NATION BREWING COMPANY, LLC",,OLD NATION BREWING COMPANY,1500 W GRAND RIVER AVE,WILLIAMSTON,MI,48895,INGHAM,42.687,-84.273107,0.9,range_interpolation
MI-W-21141,HOP LOT BREWING COMPANY LLC,HOP LOT BREWING CO.,HOP LOT BREWING CO.,658 S WEST-BAY SHORE DR BLDG A,SUTTONS BAY,MI,49682,LEELANAU,44.968949,-85.647885,1,range_interpolation
MI-W-21142,SMOKEY'S PIGOUT GRILL INC,,SMOKEY'S PIGOUT GRILL INC,280 E SANILAC RD,SANDUSKY,MI,48471,SANILAC,43.421322,-82.822388,1,range_interpolation
MI-W-21143,DRAUGHT HORSE GROUP L.L.C.,DRAUGHT HORSE BREWERY,DRAUGHT HORSE BREWERY,57721 GRAND RIVER AVE,NEW HUDSON,MI,48165,,42.512741,-83.623385,1,rooftop
MI-W-21144,BIERCAMP LLC,BIERCAMP,BIERCAMP,1643 S STATE ST,ANN ARBOR,MI,48104,,42.258445,-83.739534,1,rooftop
MI-W-21145,"LEHMAN'S ORCHARD, L.L.C.",LEHMANS ORCHARD,LEHMANS ORCHARD,204 N REDBUD TRL,BUCHANAN,MI,49107,BERRIEN,41.825902,-86.358374,1,range_interpolation
MI-W-21146,MISHIGAMA CRAFT BREWING COMPANY LLC,,MISHIGAMA CRAFT BREWING COMPANY,124 PEARL ST STE 100,YPSILANTI,MI,48197,WASHTENAW,42.24245,-83.614217,1,rooftop
MI-W-21147,"KNAEBE'S MMMUNCHY KRUNCHY APPLE FARM AND CIDER MILL, LLC",,KNAEBE'S MMMUNCHY KRUNCHY APPLE FARM AND CIDER MILL,2621 S KARSTEN RD,ROGERS CITY,MI,49779,,45.375086,-83.905545,1,range_interpolation
MI-W-21148,WAYLAND BREWING COMPANY LLC,OPENROAD BREWERY,OPENROAD BREWERY,128 S MAIN ST,WAYLAND,MI,49348,ALLEGAN,42.673314,-85.643471,1,rooftop
MI-W-21150,HOMEGROWN BREWING COMPANY LLC,,HOMEGROWN BREWING COMPANY,28 N WASHINGTON ST,OXFORD,MI,48371,,42.825628,-83.265269,1,rooftop
MI-W-21151,BIER BARREL DISTILLERY LLC,BIER DISTILLERY,BIER DISTILLERY,5295 W RIVER DR NE STE 100,COMSTOCK PARK,MI,49321,KENT,43.058988,-85.641642,1,range_interpolation
MI-W-21152,"MACATAWA BREWING COMPANY, LLC",MACATAWA ALE COMPANY,MACATAWA ALE COMPANY,102 S RIVER AVE,HOLLAND,MI,49423,,42.793334,-86.109157,1,range_interpolation
MI-W-21153,"STEIN BROTHERS, INC.",BRICKHAVEN BREWING COMPANY,BRICKHAVEN BREWING COMPANY,200 E JEFFERSON ST,GRAND LEDGE,MI,48837,EATON,42.752298,-84.7453,1,range_interpolation
MI-W-21154,THE TRI CITY BREWING COMPANY,,THE TRI CITY BREWING COMPANY,4170 SHRESTHA DR,BAY CITY,MI,48706,BAY,43.621917,-83.907218,0.6,street_center
MI-W-21155,"A & P VILLAGE WINERY, L.L.C.",,A & P VILLAGE WINERY,210 N RAWLES,ROMEO,MI,48065,MACOMB,42.802739,-83.014566,1,range_interpolation
MI-W-21156,"SOUL SQUEEZE CELLARS, LLC",,SOUL SQUEEZE CELLARS,1829 CARROLL RD,TRAVERSE CITY,MI,49686,GRAND TRAVERSE,44.856475,-85.539145,1,rooftop
MI-W-21157,HOMES BREWERY LLC,,HOMES BREWERY,2321 JACKSON AVE,ANN ARBOR,MI,48103,WASHTENAW,42.280274,-83.778447,1,rooftop
MI-W-21158,"TENACITY BREWING, LLC",TENACITY BREWING,TENACITY BREWING,119 N GRAND TRAVERSE ST,FLINT,MI,48503,GENSEEE,43.015327,-83.697464,1,rooftop
MI-W-21159,"STEINHAUER & COMPANY, INC.",,STEINHAUER & COMPANY,3685 CENTRAL ST,DEXTER,MI,48130,WASHTENAW,42.340876,-83.880239,1,rooftop
MI-W-21160,"ELK BREWING, LLC",,ELK BREWING,"400 DODGE ST., NW",COMSTOCK PARK,MI,49321,,43.046459,-85.65829,0.9,rooftop
MI-W-21161,ACME VENTURE GROUP LLC,,ACME VENTURE GROUP,3727 DURSUM AVE NE,ADA,MI,49301,KENT,43.030677,-85.49178,1,rooftop
MI-W-21162,THE WINERY AT YOUNG FARMS LLC,,THE WINERY AT YOUNG FARMS,8396 70TH AVE,MECOSTA,MI,49332,MECOSTA,43.589423,-85.224933,1,range_interpolation
MI-W-21163,"BEER ME BRO, LLC",CITY BUILT BREWING COMPANY,CITY BUILT BREWING COMPANY,820 MONROE AVE NW STE 155,GRAND RAPIDS,MI,49505,KENT,42.977765,-85.671879,0.9,rooftop
MI-W-21164,"SWEETWATER BREW, LLC",KITZINGEN BREWERY,KITZINGEN BREWERY,"1760 44TH STREET, SW, STE. 8A & 8B",WYOMING,MI,49519,KENT,42.883597,-85.708238,1,rooftop
MI-W-21165,"SCHAEFER CIDER COMPANY, LLC",,SCHAEFER CIDER COMPANY,1051 HARDING ST,CONKLIN,MI,49403,OTTAWA,43.13458,-85.813815,1,rooftop
MI-W-21166,"VANDER MILL, LLC",,VANDER MILL,505 BALL AVE NE,GRAND RAPIDS,MI,49503,KENT,42.971715,-85.630649,1,rooftop
MI-W-21167,"PERE MARQUETTE WINERY, INC.",,PERE MARQUETTE WINERY,1914 S LAKESHORE DR,LUDINGTON,MI,49431,MASON,43.922813,-86.44157,1,rooftop
MI-W-21168,"GONZO'S BIGGDOGG BREWING COMPANY, LLC",GONZO'S BIGGDOGG BREWING .LLC,GONZO'S BIGGDOGG BREWING .LLC,140 S WESTNEDGE AVE,KALAMAZOO,MI,49007,KALAMAZOO,42.291153,-85.589886,1,range_interpolation
MI-W-21169,GREENBUSH BREWING CO.,,GREENBUSH BREWING CO.,5870 SAWYER RD,SAWYER,MI,49125,BERRIEN,41.885346,-86.594017,1,range_interpolation
MI-W-21170,"VISTA RIDGE VINEYARDS, LLC",,VISTA RIDGE VINEYARDS,10035 VISTA RIDGE DR,ALDEN,MI,49612,ANTRIM,44.900641,-85.232932,0.33,place
MI-W-21171,"18TH AMENDMENT, LLC",18TH AMENDMENT SPIRITS CO.,18TH AMENDMENT SPIRITS CO.,350 W WESTERN AVE,MUSKEGON,MI,49443,,43.23626,-86.25231,0.9,rooftop
MI-W-21172,"SISTER LAKES BREWING COMPANY, LLC",,SISTER LAKES BREWING COMPANY,92500 CR 690,DOWAGIAC,MI,49047,VAN BUREN,42.083241,-86.203021,1,range_interpolation
MI-W-21173,"BIERE DE MAC BREW WORKS, LLC",BIERE DE MAC BREW WORKS,BIERE DE MAC BREW WORKS,14277 N MACKINAW HWY,MACKINAW CITY,MI,49701,,45.757037,-84.732837,1,rooftop
MI-W-21174,"THE ARCHDUKE'S DAUGHTER, LLC",THE ARCHDUKE'S DAUGHTER,THE ARCHDUKE'S DAUGHTER,2538 S CLEVELAND AVE UNIT 20,ST. JOSEPH,MI,49085,BERRIES,42.072554,-86.495291,1,range_interpolation
MI-W-21175,"5 LAKES BREWING COMPANY, LLC",5 LAKES WINERY,5 LAKES WINERY,1638 142ND AVE,DORR,MI,49323,,42.724111,-85.705409,1,rooftop
MI-W-21176,"THE MITTEN BREWING COMPANY, LLC",,THE MITTEN BREWING COMPANY,112 W NAGONABA ST,NORTHPORT,MI,49670,LEELANAU,45.1299,-85.61788,1,range_interpolation
MI-W-21177,BLUE SKY BREWING LLC,,BLUE SKY BREWING,6262 28TH ST SE,GRAND RAPIDS,MI,49546,KENT,42.912956,-85.512813,1,range_interpolation
MI-W-21178,MOONRISE LLC,,MOONRISE,7785 HILL RD,WATERVLIET,MI,49098,BERRIEN,42.144979,-86.268719,1,range_interpolation
MI-W-21179,"WATERMARK BREWING COMPANY, LLC",,WATERMARK BREWING COMPANY,5781 SAINT. JOSEPH AVE,STEVENSVILLE,MI,49127,,42.012794,-86.519592,1,range_interpolation
MI-W-21180,DIMES BREWHOUSE LLC,DIMES BREWHOUSE,DIMES BREWHOUSE,145 N BRIDGE ST,DIMONDALE,MI,48821,EATON,42.646382,-84.6485,1,range_interpolation
MI-W-21181,"FRESHBEV, LLC",SABROSA SANGRIA,SABROSA SANGRIA,52588 VAN DYKE AVE STE C & D,SHELBY TOWNSHIP,MI,48316,MACOMB,42.681212,-83.03384,1,rooftop
MI-W-21182,"BELL'S BREWERY, INC.",,BELL'S BREWERY,8938 KRUM AVE,COMSTOCK,MI,49041,KALAMAZOO,42.287238,-85.457792,0.5,street_center
MI-W-21183,"DETROIT VINEYARDS, LLC",,DETROIT VINEYARDS,1000 MAPLE ST,DETROIT,MI,48207,WAYNE,42.340802,-83.039766,1,rooftop
MI-W-21184,"BIG HART BREWING, INC.",,BIG HART BREWING,4086 POLK RD,HART,MI,49420,OCEANA,43.689111,-86.379281,0.8,range_interpolation
MI-W-21185,"TKT WINES, LLC",UNWINED WINERY,UNWINED WINERY,47653 VAN DYKE AVE,SHELBY TOWNSHIP,MI,48317,UNITED STATES,42.645496,-83.033768,1,rooftop
MI-W-21186,"GREAT LEGS WINERY, BREWERY, AND DISTILLERY, LLC",,"GREAT LEGS WINERY, BREWERY, AND DISTILLERY",332 E LAKEWOOD BLVD STE 200-300,HOLLAND,MI,49424,OTTAWA,42.804576,-86.095169,1,range_interpolation
MI-W-21187,"LONE MOUNTAIN ENTERPRISES, INC.",TENNERRA WINERY,TENNERRA WINERY,44443 PHOENIX DR STE A,STERLING HEIGHTS,MI,48314,MACOMB,42.620215,-83.043882,1,rooftop
MI-W-21188,"CURRANT MIST, LLC",,CURRANT MIST,2724 N LEWIS RD,COLEMAN,MI,48618,MIDLAND,43.691442,-84.567786,1,range_interpolation
MI-W-21189,"MICHIGAN BEER CELLAR, LLC",CELLAR BREWING COMPANY,CELLAR BREWING COMPANY,133 E DIVISION ST NW,SPARTA,MI,49345,KENT,43.160954,-85.7068,1,rooftop
MI-W-21190,FLINT CITY HARD CIDER CO. LLC,,FLINT CITY HARD CIDER CO.,610 MARTIN LUTHER KING AVE,FLINT,MI,48502,,43.021468,-83.695059,1,rooftop
MI-W-21191,734 BREWING COMPANY INC.,,734 BREWING COMPANY,15 E CROSS ST STE B,YPSILANTI,MI,48198,WASHTENAW,42.246105,-83.61058,1,range_interpolation
MI-W-21192,"GOLDEN AGE BREWING, LLC",CRESTON BREWERY,CRESTON BREWERY,"1504 PLAINFIELD AVE., NE",GRAND RAPIDS,MI,49505,KENT,42.989613,-85.6636,1,rooftop
MI-W-21193,"GITCHE GUMEE CIDERWORKS, INC.",,GITCHE GUMEE CIDERWORKS,350 N LINCOLN DR,HANCOCK,MI,49930,HOUGHTON,47.130759,-88.583668,1,range_interpolation
MI-W-21194,"RED TOP WINERY, LLC",,RED TOP WINERY,482 E SNOW RD,BARODA,MI,49101,BERRIEN,41.925062,-86.443145,1,range_interpolation
MI-W-21195,"CHARLEVOIX MOON VINEYARD, LLC",,CHARLEVOIX MOON VINEYARD,4334 US-31,CHARLEVOIX,MI,49720,CHARLEVOIX,45.295467,-85.292488,0.6,street_center
MI-W-21196,BLUM PRODUCTION LLC,BL�M MEADWORKS,BL�M MEADWORKS,100 S FOURTH AVE STE 110,ANN ARBOR,MI,48104,WASHTENAW,42.281102,-83.747614,1,rooftop
MI-W-21197,THUNDER BAY WINERY L.L.C.,,THUNDER BAY WINERY L.L.C.,215 WATER ST,ALPENA,MI,49707,ALPENA,45.06323,-83.431113,1,range_interpolation
MI-W-21198,OWL WINERIES LLC,,OWL WINERIES,28087 GRATIOT AVE,ROSEVILLE,MI,48066,MACOMB,42.503454,-82.933169,1,rooftop
MI-W-21199,"LOOKING GLASS BREWING COMPANY, INC.",,LOOKING GLASS BREWING COMPANY,115 N BRIDGE ST,DEWITT,MI,48820,CLINTON,42.842349,-84.569264,1,range_interpolation
MI-W-21200,THREE BLONDES BREWING LLC,,THREE BLONDES BREWING,1875 PHOENIX STE B,SOUTH HAVEN,MI,49090,,42.403855,-86.188528,0.4,street_center
MI-W-21201,NORTH CHANNEL BREWING LLC,,NORTH CHANNEL BREWING,86 WASHINGTON AVE,MANISTEE,MI,49660,,44.249387,-86.323839,1,range_interpolation
MI-W-21202,"JAMES JOY, LLC",,JAMES JOY,412 N MCEWAN ST,CLARE,MI,48617,CLARE,43.821584,-84.768205,1,range_interpolation
MI-W-21203,PADDLE HARD DISTRIBUTING LLC,,PADDLE HARD DISTRIBUTING,118 E MICHIGAN AVE,GRAYLING,MI,49738,,44.66132,-84.714612,1,range_interpolation
MI-W-21204,"DOWNEY BREWING COMPANY, LLC",,DOWNEY BREWING COMPANY,13121 PROSPECT,DEARBORN,MI,48126,WAYNE,42.316398,-83.170937,1,rooftop
MI-W-21205,BATCH BREWING COMPANY L.L.C.,,BATCH BREWING COMPANY L.L.C.,1400 PORTER ST,DETROIT,MI,48216,,42.328255,-83.063069,1,range_interpolation
MI-W-21206,FOURTH COAST CIDERWORKS LLC,,FOURTH COAST CIDERWORKS,140 ENGLEWOOD DR STE D,ORION,MI,48359,,42.692034,-83.197392,0.5,street_center
MI-W-21207,"AXLE BREWING COMPANY, LLC",,AXLE BREWING COMPANY,567 LIVERNOIS AVE,FERNDALE,MI,48220,OAKLAND,42.450586,-83.142991,1,rooftop
MI-W-21208,RED TAIL BREWING COMPANY LLC,REED CITY BREWING COMPANY,REED CITY BREWING COMPANY,141 W UPTON AVE,REED CITY,MI,49677,OSCEOLA,43.87581,-85.510578,1,range_interpolation
MI-W-21209,"GRIMS BEE, LLC",GRIMSBY HOLLOW MEADERY,GRIMSBY HOLLOW MEADERY,5904 BUTTRICK AVE SE,ALTO,MI,49302,KENT,42.857546,-85.467804,1,rooftop
MI-W-21210,"CARRIAGE HOUSE CIDERS, LLC",,CARRIAGE HOUSE CIDERS,920 N SHORE DR,BENTON HARBOR,MI,49022,BERRIEN,42.131114,-86.456366,1,range_interpolation
MI-W-21211,FARMINGTON UNDERGROUND CANNING AND KEGGING LLC,,FARMINGTON UNDERGROUND CANNING AND KEGGING,33200 W NINE MILE RD STE B & C,FARMINGTON,MI,48336,OAKLAND,42.455325,-83.373447,0.7,rooftop
MI-W-21212,"FALLING DOWN BEER COMPANY, LLC",,FALLING DOWN BEER COMPANY,14 N WASHINGTON STE A & C,OXFORD,MI,48371,,42.825316,-83.26491,1,rooftop
MI-W-21213,BIER'S INWOOD BREWERY LLC,,BIER'S INWOOD BREWERY,17959 FERRY RD,CHARLEVOIX,MI,49720,,45.257723,-85.341821,1,range_interpolation
MI-W-21214,"UNION ESTATES, LLC",UNION WINE CELLARS,UNION WINE CELLARS,400 W MAIN ST,LOWELL,MI,49331,KENT,42.933279,-85.342168,1,rooftop
MI-W-21215,GREAT FRIENDS BREWING COMPANY LLC,,GREAT FRIENDS BREWING COMPANY,719 W ELLWORTH UNIT 5,ANN ARBOR,MI,49108,WASHTENAW,42.266638,-83.849042,0.23,place
MI-W-21216,"AURORA CELLARS (2015), LLC",AURORA CELLARS,AURORA CELLARS,7788 E HORN RD,LAKE LEELANAU,MI,49653,LEELANAU,45.018001,-85.698018,1,range_interpolation
MI-W-21217,"ORIGINAL GRAVITY BREWING COMPANY, L.L.C.",,ORIGINAL GRAVITY BREWING COMPANY,440 COUNTY ST,MILAN,MI,48160,MONROE,42.083935,-83.675189,1,rooftop
MI-W-21218,BIG LAKE BREWING LLC,,BIG LAKE BREWING,13 W 7TH ST,HOLLAND,MI,49423,OTTAWA,42.791362,-86.107681,1,range_interpolation
MI-W-21219,"AMORITAS HOLDINGS, LLC",AMORITAS VINEYARDS,AMORITAS VINEYARDS,5882 AMORE RD,LAKE LEELANAU,MI,49653,USA,44.936571,-85.737876,0.9,range_interpolation
MI-W-21220,"DRAFTING TABLE BREWING COMPANY, LLC",,DRAFTING TABLE BREWING COMPANY,49438 PONTIAC TRAIL,WIXOM,MI,48393,OAKLAND,42.52447,-83.536458,1,range_interpolation
MI-W-21221,NECTAR RIDGE MEADERY LLC,,NECTAR RIDGE MEADERY,9070 S PHEASANT RIDGE LN,SALINE,MI,48176,WASHTENAW,42.150747,-83.711712,1,rooftop
MI-W-21222,"ABERRANT BREWING COMPANY, INC.",ABERRANT ALES,ABERRANT ALES,219 W GRAND RIVER AVE,HOWELL,MI,48843,LIVINGSTON,42.660873,-84.071128,0.6,rooftop
MI-W-21223,"IRON FISH DISTILLERY, LLC",,IRON FISH DISTILLERY,14234 DZUIBANEK RD,THOMPSONVILLE,MI,49683,MANISTEE,44.499151,-86.014064,1,range_interpolation
MI-W-21224,BLACK BARN VINEYARD AND WINERY LLC,,BLACK BARN VINEYARD AND WINERY,10605 CHURCHILL RD,RIVES JUNCTION,MI,49277,JACKSON,42.38757,-84.44307,1,range_interpolation
MI-W-21225,"JAYDA GALE DISTILLING, INC.",,JAYDA GALE DISTILLING,152 S MAIN ST,WAYLAND,MI,49348,,42.673042,-85.643465,1,rooftop
MI-W-21226,FILLMORE 13 BREWERY LLC,,FILLMORE 13 BREWERY,7 N SAGINAW ST UNIT D,PONTIAC,MI,48342,OAKLAND,42.636901,-83.292434,1,rooftop
MI-W-21227,FEATHERVANE VINEYARD LLC,,FEATHERVANE VINEYARD,6144 STAPLE RD,TWIN LAKE,MI,49457,MUSKEGON,43.365976,-86.195628,1,rooftop
MI-W-21228,"BREWERY 4 TWO 4, LLC",,BREWERY 4 TWO 4,321 DOUGLAS AVE STE 120,HOLLAND,MI,49424,HOLLAND,42.797806,-86.123709,1,range_interpolation
MI-W-21229,"ROOSTER RIDGE VINEYARDS, LLC",ROOSTER RIDGE VINEYARDS,ROOSTER RIDGE VINEYARDS,6300 PIKE RD,NEW ERA,MI,49446,OCEANA,43.566342,-86.436387,0.8,range_interpolation
MI-W-21230,DEHOP'S BREWING COMPANY AND CAFE' INC.,,DEHOP'S BREWING COMPANY AND CAFE',363 NW CUMMINGS,WALKER,MI,49534,,42.971833,-85.771481,0.5,range_interpolation
MI-W-21231,PAINTING AND PINOT L.L.C.,RECOLTE MEADS,RECOLTE MEADS,42862 MOUND RD,STERLING HEIGHTS,MI,48314,,42.607275,-83.049616,1,rooftop
MI-W-21232,SHINY APPLE LLC,,SHINY APPLE,2588 PINCKNEY RD,HOWELL,MI,48843,LIVINGSTON,42.56482,-83.932733,1,rooftop
MI-W-21233,"STONEY RIDGE WINERY, LLC",,STONEY RIDGE WINERY,2255 INDIAN LAKES RD NW,KENT CITY,MI,49330,,43.198585,-85.727071,1,rooftop
MI-W-21234,"ROCK PAPER SCISSORS WINE COMPANY, LLC",HICKORY CREEK WINERY,HICKORY CREEK WINERY,750 BROWNTOWN RD,BUCHANAN,MI,49107,BERRIEN,41.906445,-86.46027,1,range_interpolation
MI-W-21235,"SAGE CREEK WINERY & COFFEE BISTRO, INC.",,SAGE CREEK WINERY & COFFEE BISTRO,35050 E BORDMAN RD,MEMPHIS,MI,48041,MACOMB,42.89635,-82.768247,1,rooftop
MI-W-21236,"THREE SPEED ALES, LLC",STORMCLOUD BREWING COMPANY,STORMCLOUD BREWING COMPANY,366 PARKVIEW LN,FRANKFORT,MI,49635,,44.634704,-86.221756,1,rooftop
MI-W-21237,"BREW DETROIT, LLC",,BREW DETROIT,1401 ABBOTT ST,DETROIT,MI,48216,WAYNE,42.327408,-83.061889,1,rooftop
MI-W-21238,"DANDO BREWING COMPANY, LLC",,DANDO BREWING COMPANY,118 S MAIN ST,VICKSBURG,MI,49097,KALAMAZOO,42.119016,-85.532525,1,range_interpolation
MI-W-21239,TAMAZ LLC,TWO GUYS BREWING,TWO GUYS BREWING,2356 PORTER,WYOMING,MI,49519,,42.921079,-85.723363,0.9,range_interpolation
MI-W-21240,TAMAZ LLC,TWO GUYS BREWING,TWO GUYS BREWING,2385 PORTER ST,WYOMING,MI,49519,,42.921559,-85.724818,0.8,rooftop
MI-W-21241,JOEL VANDEMARK,VANDEMARK FARM AND VINEYARD,VANDEMARK FARM AND VINEYARD,9800 N BEGOLE RD,SAINT LOUIS,MI,48880,,43.434,-84.646709,1,range_interpolation
MI-W-21242,"COTTON BREWING COMPANY, LLC",,COTTON BREWING COMPANY,626 OAK ST,ADRIAN,MI,49221,LENAWEE,41.891394,-84.024665,1,range_interpolation
MI-W-21243,"COTTON BREWING COMPANY, LLC",,COTTON BREWING COMPANY,101 & 103 E MAUMEE ST,ADRIAN,MI,49221,LENAWEE,41.889943,-84.065892,0.33,place
MI-W-21244,"GRAMPA BOOS KITCHEN, LLC",,GRAMPA BOOS KITCHEN,9 N ELM ST,THREE OAKS,MI,49128,,41.801024,-86.610559,1,range_interpolation
MI-W-21245,CAP N CORK BREWING COMPANY LLC,,CAP N CORK BREWING COMPANY,16776 21 MILE RD,MACOMB,MI,48044,,42.640559,-82.955082,1,rooftop
MI-W-21246,"BASS LAKE BREWING, LLC",LUDINGTON BAY BREWING CO.,LUDINGTON BAY BREWING CO.,515 S JAMES ST,LUDINGTON,MI,49431,MASON,43.950906,-86.447497,1,rooftop
MI-W-21247,"SHORT'S BREWING COMPANY, LLC",,SHORT'S BREWING COMPANY,211 INDUSTRIAL PARK DR,ELK RAPIDS,MI,49629,ANTRIM,44.89556,-85.41646,0.33,place
MI-W-21248,"SHORT'S BREWING COMPANY, LLC",,SHORT'S BREWING COMPANY,121 N BRIDGE ST,BELLAIRE,MI,49615,ANTRIM,44.975971,-85.209853,0.9,range_interpolation
MI-W-21249,"LITTLE GUY BREWING COMPANY, LLC",,LITTLE GUY BREWING COMPANY,3645 HIGHLAND RD,WATERFORD,MI,48328,OAKLAND,42.647026,-83.363145,1,range_interpolation
MI-W-21250,FREEDOM WINERY LLC,,FREEDOM WINERY,13011 BETHEL CHURCH RD,MANCHESTER,MI,48158,WASHTENAW,42.17945,-83.981604,1,rooftop
MI-W-21251,SMYTHPHILLIPS COMPANY,PHILLIPS ORCHARDS & CIDER MILL,PHILLIPS ORCHARDS & CIDER MILL,1174 W GRATIOT COUNTY LINE RD,SAINT JOHNS,MI,48879,GRATIOT,43.117932,-84.627959,1,range_interpolation
MI-W-21252,"51ST STATE BREWING COMPANY, INC.",,51ST STATE BREWING COMPANY,115 HARDING AVE,KINGSFORD,MI,49802,DICKINSON,45.808408,-88.088223,1,range_interpolation
MI-W-21253,"LC BREWERS, LLC",,LC BREWERS,109 BRIDGE PARK DR,CHARLEVOIX,MI,49720,CHARLEVOIX,45.317111,-85.258271,1,range_interpolation
MI-W-21254,"PLEASANT VALLEY FARMS, LLC",,PLEASANT VALLEY FARMS,522 N 69TH AVE,HART,MI,49444,,43.657705,-86.385299,0.9,range_interpolation
MI-W-21255,"YOUNGBLOOD VINEYARD, LLC",YOUNGBLOOD VINEYARD,YOUNGBLOOD VINEYARD,61829 RAY CENTER RD,RAY,MI,48096,MACOMB,42.751968,-82.904036,1,rooftop
MI-W-21256,"NORTHERN UNITED BREWING COMPANY, LLC",JOLLY PUMPKIN ARTISAN ALES,JOLLY PUMPKIN ARTISAN ALES,428 BRIDGE ST,GRAND RAPIDS,MI,49504,KENT,42.970379,-85.68021,0.9,rooftop
MI-W-21257,SOIL FRIENDS LLC,,SOIL FRIENDS,1701 N 33RD ST,GALESBURG,MI,49053,KALAMAZOO,42.304751,-85.443952,1,range_interpolation
MI-W-21258,HOPLAND BREWING L.L.C.,HOPLAND BREWING,HOPLAND BREWING,977 BUTTERNUT DR SUITE 4,HOLLAND,MI,49424,,42.828145,-86.135149,1,rooftop
MI-W-21259,LUCKY GIRL BREWING COMPANY - CROSS ROADS LLC,B52 WINERY,B52 WINERY,43016 M-43 HWY STE,PAW PAW,MI,49079,VAN BUREN,42.302444,-85.964748,1,range_interpolation
MI-W-21260,"NORTHERN OAK BREWERY, INC.",NORTHERN OAK BREWERY,NORTHERN OAK BREWERY,806 N SAGINAW ST,HOLLY,MI,48442,OAKLAND,42.800362,-83.626898,1,rooftop
MI-W-21261,"MONSOON COFFEE COMPANY, LLC",,MONSOON COFFEE COMPANY,3066 S CHANNEL DR,HARSENS ISLAND,MI,48028,,42.581204,-82.56251,1,rooftop
MI-W-21262,BRAUEREI BECKER LLC,,BRAUEREI BECKER,500 W MAIN ST,BRIGHTON,MI,48116,LIVINGSTON,42.529647,-83.785356,1,rooftop
MI-W-21263,MAMMOTH DISTILLING LLC,,MAMMOTH DISTILLING,221 GARLAND ST STE D,TRAVERSE CITY,MI,49684,GRAND TRAVERSE COUNTY,44.765215,-85.626047,1,rooftop
MI-W-21264,DECATUR TASTINGS LLC,,DECATUR TASTINGS,246 N BURDICK ST,KALAMZOO,MI,49007,KALAMZOO,42.29318,-85.583116,1,range_interpolation
MI-W-21265,SPRUCERIDGE VINEYARDS LLC,SPRUCERIDGE VINEYARDS,SPRUCERIDGE VINEYARDS,8753 INDIAN RESERVE ROAD RD,ALPENA,MI,49707,ALPENA,44.950289,-83.546569,1,range_interpolation
MI-W-21266,"DRINKING CLASS WINE, LLC",,DRINKING CLASS WINE,5979 STATE ST,KINGSTON,MI,51764,TUSCOLA,43.413096,-83.186608,0.9,range_interpolation
MI-W-21267,"FARMHOUSE VINEYARDS, LLC",,FARMHOUSE VINEYARDS,8450 CHANNEL RD,PETOSKEY,MI,49770,,45.409531,-84.797486,1,rooftop
MI-W-21268,DEARBORN BREWING LLC,DEARBORN BREWING,DEARBORN BREWING,21930 MICHIGAN AVE,DEARBORN,MI,48124,WAYNE,42.306577,-83.243108,1,range_interpolation
MI-W-21269,BATCH BREWING COMPANY L.L.C.,,BATCH BREWING COMPANY L.L.C.,2841 E GRAND BLVD,DETROIT,MI,48211,WAYNE,42.37327,-83.064078,0.9,rooftop
MI-W-21270,"NORTH PIER BREWING COMPANY, LLC",,NORTH PIER BREWING COMPANY,725 NORTH SHORE DR,BENTON HARBOR,MI,49022,,42.126577,-86.45548,1,range_interpolation
MI-W-21271,"GRINNING MITTEN, LLC",RAILTOWN BREWING COMPANY,RAILTOWN BREWING COMPANY,3555 68TH ST SE STE 1-2,CALEDONIA,MI,49316,KENT,42.841816,-85.576859,1,rooftop
MI-W-21272,"NORTH PIER BREWING COMPANY, LLC",,NORTH PIER BREWING COMPANY,107 HIGMAN PARK RD,BENTON HARBOR,MI,49022,,42.126781,-86.45711,1,range_interpolation
MI-W-21273,"TCWC, LLC",,TCWC,13975 S ROBINSON RD,TRAVERSE CITY,MI,49684,GRAND TRAVERSE,44.693963,-85.676342,0.33,place
MI-W-21274,"CHARAMAR CELLARS, LLC",CHERRY CREEK CELLARS,CHERRY CREEK CELLARS,11000 SILVER LAKE HWY,BROOKLYN,MI,49230,,42.054039,-84.300844,0.6,street_center
